EG	ECK	Gene	Syn	Protein	GI	SP	b#	
EG10251	ECK3630	dut	dnaS, sof	deoxyuridinetriphosphatase	; 1790071	P06968	b3640
EG10252	ECK3066	ebgA	None	evolved beta-D-galactosidase, alpha subunit	; 48994920	P06864	b3076
EG10253	ECK3067	ebgC	None	evolved beta-D-galactosidase, beta subunit; cupin superfamily	; 1789458	P0AC73	b3077
EG10254	ECK3065	ebgR	None	transcriptional repressor	; 1789456	P06846	b3075
EG10255	ECK2201	eco	eti	ecotin, a serine protease inhibitor	; 1788538	P23827	b2209
EG10256	ECK1851	eda	hga, kdgA, kga	KHG/KDPG aldolase; 2-dehydro-3-deoxy-phosphogluconate/4-hydroxy-2-oxoglutarate aldolase	; 1788156	P0A955	b1850
EG10257	ECK1852	edd	None	6-phosphogluconate dehydratase	; 1788157	P0ADF6	b1851
EG10258	ECK2773	eno	None	enolase	; 1789141	P0A6P9	b2779
EG10259	ECK0589	entA	None	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	; 1786812	P15047	b0596
EG10260	ECK0588	entB	entG	isochorismatase	; 1786811	P0ADI4	b0595
EG10261	ECK0586	entC	fepF	isochorismate synthase 1	; 1786809	P0AEJ2	b0593
EG10262	ECK0575	entD	None	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex	; 1786797	P19925	b0583
EG10263	ECK0587	entE	None	2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex	; 1786810	P10378	b0594
EG10264	ECK0579	entF	None	enterobactin synthase multienzyme complex component, ATP-dependent	; 1786801	P11454	b0586
EG10265	ECK0097	lpxC	asmB, envA	UDP-3-O-acyl N-acetylglucosamine deacetylase	; 1786285	P0A725	b0096
EG10266	ECK3252	acrE	envC	cytoplasmic membrane lipoprotein	; 1789665	P24180	b3265
EG10267	ECK3253	acrF	envD	multidrug efflux system protein	; 1789666	P24181	b3266
EG10268	ECK0558	envY	None	porin thermoregulatory transcriptional activator	; 1786778	P10805	b0566
EG10269	ECK3391	envZ	cpr, ompB, perA, tpo	sensory histidine kinase in two-component regulatory system with OmpR	; 1789808	P0AEJ4	b3404
EG10270	ECK2564	era	sdgE	membrane-associated, 16S rRNA-binding GTPase	; 1788919	P06616	b2566
EG10271	ECK2999	exbB	None	membrane spanning protein in TonB-ExbB-ExbD complex	; 1789381	P0ABU7	b3006
EG10272	ECK2998	exbD	None	membrane spanning protein in TonB-ExbB-ExbD complex	; 1789380	P0ABV2	b3005
EG10273	ECK0945	fabA	None	beta-hydroxydecanoyl thioester dehydrase	; 1787187	P0A6Q3	b0954
EG10274	ECK2317	fabB	fabC	3-oxoacyl-[acyl-carrier-protein] synthase I	; 1788663	P0A953	b2323
EG10275	ECK3242	accB	fabE	acetyl CoA carboxylase, BCCP subunit	; 1789653	P0ABD8	b3255
EG10276	ECK3243	accC	fabG	acetyl-CoA carboxylase, biotin carboxylase subunit	; 1789654	P24182	b3256
EG10277	ECK1077	fabH	None	3-oxoacyl-[acyl-carrier-protein] synthase III	; 1787333	P0A6R0	b1091
EG10278	ECK3837	fadA	oldA	3-ketoacyl-CoA thiolase (thiolase I)	; 48994986	P21151	b3845
EG10279	ECK3838	fadB	oldB	fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase	; 1790281	P21177	b3846
EG10280	ECK2338	fadL	ttr	long-chain fatty acid outer membrane transporter	; 1788686	P10384	b2344
EG10281	ECK1175	fadR	dec, ole, oleR, thdB	fatty acid metabolism regulon transcriptional regulator	; 1787436	P0A8V6	b1187
EG10282	ECK2921	fbaA	ald, fba, fda	fructose-bisphosphate aldolase, class II	; 1789293	P0AB71	b2925
EG10283	ECK4227	fbp	fdp	fructose-1,6-bisphosphatase I	; 1790679	P0A993	b4232
EG10284	ECK3884	fdhE	None	formate dehydrogenase formation protein	; 1790324	P13024	b3891
EG10285	ECK4072	fdhF	None	formate dehydrogenase-H, selenopolypeptide subunit	; 3868721	P07658	b4079
EG10286	ECK4281	fecA	None	TonB-dependent outer membrane ferric citrate transporter and signal transducer; ferric citrate extracelluar receptor; FecR-interacting protein	; 1790743	P13036	b4291
EG10287	ECK4280	fecB	None	ferric citrate ABC transporter periplasmic binding protein	; 87082411	P15028	b4290
EG10288	ECK4279	fecC	None	ferric citrate ABC transporter permease	; 1790741	P15030	b4289
EG10289	ECK4278	fecD	None	ferric citrate ABC transporter permease	; 1790740	P15029	b4288
EG10290	ECK4277	fecE	None	ferric citrate ABC transporter ATPase	; 1790739	P15031	b4287
EG10291	ECK4283	fecI	None	RNA polymerase sigma-19 factor, fec operon-specific; ECF sigma factor	; 1790746	P23484	b4293
EG10292	ECK4282	fecR	None	anti-sigma transmembrane signal transducer for ferric citrate transport; periplasmic FecA-bound ferric citrate sensor and cytoplasmic FecI ECF sigma factor activator	; 1790745	P23485	b4292
EG10293	ECK0576	fepA	cbr, cbt, fep, feuB	ferrienterobactin outer membrane transporter	; 1786798	P05825	b0584
EG10294	ECK0585	fepB	None	ferrienterobactin ABC transporter periplasmic binding protein	; 1786807	P0AEL6	b0592
EG10295	ECK0581	fepC	None	ferrienterobactin ABC transporter ATPase	; 1786803	P23878	b0588
EG10296	ECK0583	fepD	None	ferrienterobactin ABC transporter permease	; 1786805	P23876	b0590
EG10297	ECK0580	fepE	None	regulator of length of O-antigen component of lipopolysaccharide chains	; 1786802	P26266	b0587
EG10298	ECK0582	fepG	None	iron-enterobactin ABC transporter permease	; 1786804	P23877	b0589
EG10299	ECK0577	fes	None	enterobactin/ferrienterobactin esterase	; 1786799	P13039	b0585
EG10300	ECK2607	ffh	None	Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)	; 1788963	P0AGD7	b2610
EG10301	ECK2726	fhlA	fhl	formate hydrogenlyase transcriptional activator	; 1789087	P19323	b2731
EG10302	ECK0149	fhuA	T1, tonA	ferrichrome outer membrane transporter	; 1786344	P06971	b0150
EG10303	ECK0152	fhuB	None	iron(3+)-hydroxamate import ABC transporter permease	; 1786347	P06972	b0153
EG10304	ECK0150	fhuC	None	iron(3+)-hydroxamate import ABC transporter ATPase	; 1786345	P07821	b0151
EG10305	ECK0151	fhuD	None	iron(3+)-hydroxamate import ABC transporter periplasmic binding protein	; 1786346	P07822	b0152
EG10306	ECK1088	fhuE	None	ferric-rhodotorulic acid outer membrane transporter	; 1787344	P16869	b1102
EG10307	ECK3349	fic	vhpT(B.s.)	stationary phase-induced protein, putative toxin	; 1789761	P20605	b3361
EG10308	ECK4305	fimA	fimD, pilA	major type 1 subunit fimbrin (pilin)	; 1790769	P04128	b4314
EG10309	ECK4303	fimB	None	tyrosine recombinase/inversion of on/off regulator of fimA	; 1790767	P0ADH5	b4312
EG10310	ECK4307	fimC	None	periplasmic chaperone	; 1790771	P31697	b4316
EG10311	ECK4308	fimD	None	fimbrial usher outer membrane porin protein; FimCD chaperone-usher	; 1790772	P30130	b4317
EG10312	ECK4304	fimE	hyp	tyrosine recombinase/inversion of on/off regulator of fimA	; 1790768	P0ADH7	b4313
EG10313	ECK4309	fimF	None	minor component of type 1 fimbriae	; 1790773	P08189	b4318
EG10314	ECK4310	fimG	None	minor component of type 1 fimbriae	; 1790774	P08190	b4319
EG10315	ECK4311	fimH	None	minor component of type 1 fimbriae	; 1790775	P08191	b4320
EG10316	ECK0178	lpxD	firA, omsA, ssc	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	; 1786376	P21645	b0179
EG10317	ECK3248	fis	nbp	global DNA-binding transcriptional dual regulator	; 1789661	P0A6R3	b3261
EG10318	ECK0672	fldA	None	flavodoxin 1	; 1786900	P61949	b0684
EG10319	ECK1892	flhC	flaI	flagellar class II regulon transcriptional activator, with FlhD	; 1788201	P0ABY7	b1891
EG10320	ECK1893	flhD	flbB	flagellar class II regulon transcriptional activator, with FlhC	; 1788202	P0A8S9	b1892
EG10321	ECK1922	fliC	flaF, H, hag	flagellar filament structural protein (flagellin)	; 1788232	P04949	b1923
EG10322	ECK1942	fliL	cheC1, flaAI, flaQI	flagellar biosynthesis protein	; 1788254	P0ABX8	b1944
EG10323	ECK1943	fliM	cheC2, flaA, flaAII, flaQII	flagellar motor switching and energizing component	; 1788255	P06974	b1945
EG10324	ECK1944	fliN	motD	flagellar motor switching and energizing component	; 1788256	P15070	b1946
EG10325	ECK1330	fnr	nirA, nirR, ossA	oxygen-sensing anaerobic growth regulon transcriptional regulator FNR; autorepressor	; 1787595	P0A9E5	b1334
EG10326	ECK0049	folA	tmrA	dihydrofolate reductase	; 1786233	P0ABQ4	b0048
EG10327	ECK2309	folC	dedC	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase	; 1788654	P08192	b2315
EG10328	ECK0522	folD	ads	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	; 1786741	P24186	b0529
EG10329	ECK3625	mutM	fpg	formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase	; 1790066	P05523	b3635
EG10330	ECK4150	frdA	None	anaerobic fumarate reductase catalytic and NAD/flavoprotein subunit	; 1790597	P00363	b4154
EG10331	ECK4149	frdB	None	fumarate reductase (anaerobic), Fe-S subunit	; 1790596	P0AC47	b4153
EG10332	ECK4148	frdC	None	fumarate reductase (anaerobic), membrane anchor subunit	; 1790595	P0A8Q0	b4152
EG10333	ECK4147	frdD	None	fumarate reductase (anaerobic), membrane anchor subunit	; 1790594	P0A8Q3	b4151
EG10334	ECK3836	fre	fadI, flrD, fsrC, hsm-6	NAD(P)H-flavin reductase	; 2367314	P0AEN1	b3844
EG10335	ECK0171	frr	rrf	ribosome recycling factor	; 1786368	P0A805	b0172
EG10336	ECK2160	fruA	ptsF	fused fructose-specific PTS enzymes: IIBcomponent/IIC components	; 1788492	P20966	b2167
EG10337	ECK2161	fruK	fpk	fructose-1-phosphate kinase	; 1788493	P0AEW9	b2168
EG10338	ECK0081	cra	fruC, fruR, fruS?, serR?, shl	transcriptional repressor-activator for carbon metabolism	; 1786268	P0ACP1	b0080
EG10339	ECK0095	ftsA	divA	ATP-binding cell division FtsK recruitment protein	; 1786282	P0ABH0	b0094
EG10340	ECK3447	ftsE	None	cell division ATP-binding protein	; 1789873	P0A9R7	b3463
EG10341	ECK0085	ftsI	pbpB, sep	transpeptidase involved in septal peptidoglycan synthesis; penicillin-binding protein 3	; 1786272	P0AD68	b0084
EG10342	ECK0094	ftsQ	None	divisome assembly protein, membrane anchored protein involved in growth of wall at septum	; 1786281	P06136	b0093
EG10343	ECK3449	rsmD	yhhF	16S rRNA m(2)G966 methyltransferase, SAM-dependent	1789875	P0ADX9	b3465
EG10344	ECK0090	ftsW	None	putative lipid II flippase; integral membrane protein; FtsZ ring stabilizer	; 1786277	P0ABG4	b0089
EG10345	ECK3446	ftsX	ftsS	putative ABC transporter permease	; 1789872	P0AC30	b3462
EG10346	ECK3448	ftsY	None	Signal Recognition Particle (SRP) receptor	; 1789874	P10121	b3464
EG10347	ECK0096	ftsZ	sfiB, sulB	GTP-binding tubulin-like cell division protein	; 1786284	P0A9A6	b0095
EG10348	ECK2795	fucA	fucC, prd	L-fuculose-1-phosphate aldolase	; 1789164	P0AB87	b2800
EG10349	ECK2797	fucI	None	L-fucose isomerase	; 1789167	P69922	b2802
EG10350	ECK2798	fucK	None	L-fuculokinase	; 1789168	P11553	b2803
EG10351	ECK2794	fucO	None	L-1,2-propanediol oxidoreductase	; 1789163	P0A9S1	b2799
EG10352	ECK2796	fucP	None	L-fucose transporter	; 1789166	P11551	b2801
EG10353	ECK2800	fucR	None	l-fucose operon activator	; 1789170	P0ACK8	b2805
EG10355	ECK2799	fucU	None	L-fucose mutarotase	1789169	P0AEN8	b2804
EG10356	ECK1607	fumA	None	fumarate hydratase (fumarase A), aerobic Class I	; 1787897	P0AC33	b1612
EG10357	ECK4115	fumB	None	anaerobic class I fumarate hydratase (fumarase B)	; 1790564	P14407	b4122
EG10358	ECK1606	fumC	None	fumarate hydratase (fumarase C),aerobic Class II	; 1787896	P05042	b1611
EG10359	ECK0671	fur	None	ferric iron uptake regulon transcriptional repressor; autorepressor	; 1786899	P0A9A9	b0683
EG10360	ECK3327	fusA	far, fus	protein chain elongation factor EF-G, GTP-binding	; 1789738	P0A6M8	b3340
EG10361	ECK2656	gabT	None	4-aminobutyrate aminotransferase, PLP-dependent	; 1789016	P22256	b2662
EG10362	ECK0748	galE	galD	UDP-galactose-4-epimerase	; 1786974	P09147	b0759
EG10363	ECK0746	galK	galA	galactokinase	; 1786972	P0A6T3	b0757
EG10364	ECK2835	galR	None	galactose-inducible d-galactose regulon transcriptional repressor; autorepressor	; 1789202	P03024	b2837
EG10365	ECK2144	galS	mglD	galactose- and fucose-inducible galactose regulon transcriptional isorepressor; mgl operon transcriptional repressor; autorepressor	; 1788474	P25748	b2151
EG10366	ECK0747	galT	galB	galactose-1-phosphate uridylyltransferase	; 1786973	P09148	b0758
EG10367	ECK1777	gapA	None	glyceraldehyde-3-phosphate dehydrogenase A	; 1788079	P0A9B2	b1779
EG10368	ECK2923	epd	gapB	D-erythrose 4-phosphate dehydrogenase	; 1789295	P0A9B6	b2927
EG10369	ECK0123	gcd	None	glucose dehydrogenase	; 1786316	P15877	b0124
EG10370	ECK2511	ispG	gcpE	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	; 1788863	P62620	b2515
EG10371	ECK2899	gcvH	None	glycine cleavage complex lipoylprotein	; 1789271	P0A6T9	b2904
EG10372	ECK1759	gdhA	None	glutamate dehydrogenase, NADP-specific	; 1788059	P00370	b1761
EG10373	ECK0018	hokC	gef	toxic membrane protein, small	; 48994874	P0ACG4	b4412
EG10374	ECK3431	ggt	None	gamma-glutamyltranspeptidase	; 1789856	P18956	b3447
EG10375	ECK3734	mnmG	gidA, mnmB, trmF	5-methylaminomethyl-2-thiouridine modification at tRNA U34	; 2367273	P0A6U3	b3741
EG10376	ECK3733	rsmG	gidB	16S rRNA m(7)G527 methyltransferase, SAM-dependent; glucose-inhibited cell-division protein	; 1790179	P0A6U5	b3740
EG10377	ECK3415	glgA	None	glycogen synthase	; 1789836	P0A6U8	b3429
EG10378	ECK3418	glgB	None	1,4-alpha-glucan branching enzyme	; 1789839	P07762	b3432
EG10379	ECK3416	glgC	None	glucose-1-phosphate adenylyltransferase	; 1789837	P0A6V1	b3430
EG10380	ECK3414	glgP	glgY	glycogen phosphorylase	; 2367228	P0AC86	b3428
EG10381	ECK3417	glgX	None	glycogen debranching enzyme	; 2367229	P15067	b3431
EG10382	ECK3722	glmS	None	L-glutamine:D-fructose-6-phosphate aminotransferase	; 1790167	P17169	b3729
EG10383	ECK3863	glnA	None	glutamine synthetase	; 1790301	P0A9C5	b3870
EG10384	ECK2550	glnB	None	regulatory protein P-II for glutamine synthetase	; 1788904	P0A9Z1	b2553
EG10385	ECK3861	glnG	glnT, ntrC	fused DNA-binding response regulator in two-component regulatory system with GlnL: response regulator/sigma54 interaction protein	; 1790299	P0AFB8	b3868
EG10386	ECK0800	glnH	None	glutamine transporter subunit	; 1787031	P0AEQ3	b0811
EG10387	ECK3862	glnL	glnR, ntrB	sensory histidine kinase in two-component regulatory system with GlnG	; 1790300	P0AFB5	b3869
EG10388	ECK0799	glnP	None	glutamine transporter subunit	; 1787030	P0AEQ6	b0810
EG10389	ECK0798	glnQ	None	glutamine transporter subunit	; 1787029	P10346	b0809
EG10390	ECK0668	glnS	None	glutamyl-tRNA synthetase	; 1786895	P00962	b0680
EG10391	ECK2233	glpA	None	anaerobic sn-glycerol-3-phosphate dehydrogenase, large FAD/NAD(P)-binding subunit	; 1788574	P0A9C0	b2241
EG10392	ECK2234	glpB	glpC, psi-51	anaerobic sn-glycerol-3-phosphate dehydrogenase membrane anchor subunit	; 1788575	P13033	b2242
EG10393	ECK2235	glpC	glpB	anaerobic sn-glycerol-3-phosphate dehydrogenase, C subunit, 4Fe-4S iron-sulfur cluster	; 1788576	P0A996	b2243
EG10394	ECK3412	glpD	glyD	sn-glycerol-3-phosphate dehydrogenase, aerobic, FAD/NAD(P)-binding	; 2367226	P13035	b3426
EG10395	ECK3411	glpE	None	thiosulfate:cyanide sulfurtransferase (rhodanese)	; 1789831	P0A6V5	b3425
EG10396	ECK3919	glpF	None	glycerol facilitator	; 1790362	P0AER0	b3927
EG10397	ECK3410	glpG	None	rhomboid intramembrane serine protease	; 48994938	P09391	b3424
EG10398	ECK3918	glpK	None	glycerol kinase	; 1790361	P0A6F3	b3926
EG10399	ECK2231	glpQ	None	periplasmic glycerophosphodiester phosphodiesterase	; 1788572	P09394	b2239
EG10400	ECK3409	glpR'	None	pseudogene, DNA-binding transcriptional repressor	; 1789829	P0ACL0	b3423
EG10401	ECK2232	glpT	None	sn-glycerol-3-phosphate transporter	; 1788573	P08194	b2240
EG10402	ECK0709	gltA	gluT, icdB	citrate synthase	; 1786939	P0ABH7	b0720
EG10403	ECK3202	gltB	aspB, ossB, psiQ	glutamate synthase, large subunit	; 1789605	P09831	b3212
EG10404	ECK3203	gltD	aspB, ossB, psiQ	glutamate synthase, 4Fe-4S protein, small subunit	; 1789606	P09832	b3213
EG10405	ECK4070	gltP	None	glutamate/aspartate:proton symporter	; 1790514	P21345	b4077
EG10406	ECK3643	gltS	gltC	glutamate transporter	; 1790085	P0AER8	b3653
EG10407	ECK2394	gltX	None	glutamyl-tRNA synthetase	; 1788743	P04805	b2400
EG10408	ECK2548	glyA	None	serine hydroxymethyltransferase	; 1788902	P0A825	b2551
EG10409	ECK3548	glyQ	cfcA, glyS(A)	glycine tRNA synthetase, alpha subunit	; 1789983	P00960	b3560
EG10410	ECK3547	glyS	gly-act, glyS(B)	glycine tRNA synthetase, beta subunit	; 1789982	P00961	b3559
EG10411	ECK2024	gnd	None	6-phosphogluconate dehydrogenase, decarboxylating	; 1788341	P00350	b2029
EG10412	ECK3485	gor	gorA	glutathione oxidoreductase	; 1789915	P06715	b3500
EG10413	ECK3771	gpp	gppA	guanosine pentaphosphatase/exopolyphosphatase	; 48994966	P25552	b3779
EG10414	ECK0239	gpt	gpp, gxu	xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase	; 1786433	P0A9M5	b0238
EG10415	ECK3170	greA	None	transcript cleavage factor	; 87082225	P0A6W5	b3181
EG10416	ECK2610	grpE	None	heat shock protein	; 1788967	P09372	b2614
EG10417	ECK0840	grxA	grx	glutaredoxin 1, redox coenzyme for ribonucleotide reductase (RNR1a)	; 1787073	P68688	b0849
EG10418	ECK2683	gshA	gshI	glutamate-cysteine ligase	; 1789044	P0A6W9	b2688
EG10419	ECK2942	gshB	gsh-II	glutathione synthetase	; 1789316	P04425	b2947
EG10420	ECK2503	guaA	None	GMP synthetase (glutamine aminotransferase)	; 1788854	P04079	b2507
EG10421	ECK2504	guaB	guaR	IMP dehydrogenase	; 1788855	P0ADG7	b2508
EG10422	ECK0104	guaC	None	GMP reductase	; 1786293	P60560	b0104
EG10423	ECK2223	gyrA	hisW, nalA, nfxA, norA, parD	DNA gyrase (type II topoisomerase), subunit A	; 1788562	P0AES4	b2231
EG10424	ECK3691	gyrB	acrB, Cou, himB, hisU, hopA, nalC, parA, pcbA, pcpA	DNA gyrase, subunit B	; 48994957	P0AES6	b3699
EG10425	ECK1614	hdhA	hsd, hsdH	7-alpha-hydroxysteroid dehydrogenase, NAD-dependent	; 1787905	P0AET8	b1619
EG10426	ECK0953	helD	srjB	DNA helicase IV	; 1787196	P15038	b0962
EG10427	ECK1198	hemA	gtrA	glutamyl-tRNA reductase	; 1787461	P0A6X1	b1210
EG10428	ECK0366	hemB	ncf	5-aminolevulinate dehydratase (porphobilinogen synthase)	; 87081728	P0ACB2	b0369
EG10429	ECK3799	hemC	popE	hydroxymethylbilane synthase	; 48994974	P06983	b3805
EG10430	ECK3798	hemD	None	uroporphyrinogen III synthase	; 1790236	P09126	b3804
EG10431	ECK0469	hemH	popA, visA	ferrochelatase	; 1786681	P23871	b0475
EG10432	ECK0153	hemL	gsa?, popC	glutamate-1-semialdehyde aminotransferase (aminomutase)	; 1786349	P23893	b0154
EG10433	ECK3797	hemX	None	putative uroporphyrinogen III methyltransferase	; 1790235	P09127	b3803
EG10434	ECK3796	hemY	None	putative protoheme IX synthesis protein	; 1790234	P0ACB7	b3802
EG10435	ECK4171	hflC	hflA	HflB protease modulator specific for phage lambda cII repressor	; 1790617	P0ABC3	b4175
EG10436	ECK4170	hflK	hflA, hslY	modulator for HflB protease specific for phage lambda cII repressor	; 1790616	P0ABC7	b4174
EG10437	ECK4169	hflX	hflA, hslX	GTPase, stimulated by 50S subunit binding; Mn(2+) homeostasis regulator	; 1790615	P25519	b4173
EG10438	ECK4168	hfq	None	global sRNA chaperone; HF-I, host factor for RNA phage Q beta replication	; 1790614	P0A6X3	b4172
EG10439	ECK0454	hha	None	modulator of gene expression, with H-NS	; 1786665	P0ACE3	b0460
EG10440	ECK1710	ihfA	hid, himA	integration host factor (IHF), DNA-binding protein, alpha subunit	; 1788005	P0A6X7	b1712
EG10441	ECK0903	ihfB	himD, hip	integration host factor (IHF), DNA-binding protein, beta subunit	; 1787141	P0A6Y1	b0912
EG10442	ECK1501	hipB	None	antitoxin of HipAB toxin-antitoxin system	; 1787786	P23873	b1508
EG10443	ECK1500	hipA	None	inactivating GltX kinase facilitating persister formation; toxin of HipAB TA pair; autokinase	; 1787785	P23874	b1507
EG10444	ECK2019	hisA	None	N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase	; 87082028	P10371	b2024
EG10445	ECK2017	hisB	None	histidinol-phosphatase and imidazoleglycerol-phosphate dehydratase	; 87082027	P06987	b2022
EG10446	ECK2016	hisC	None	histidinol-phosphate aminotransferase	; 1788332	P06986	b2021
EG10447	ECK2015	hisD	None	bifunctional histidinal dehydrogenase/ histidinol dehydrogenase	; 1788331	P06988	b2020
EG10448	ECK2020	hisF	None	imidazole glycerol phosphate synthase, catalytic subunit with HisH	; 1788336	P60664	b2025
EG10449	ECK2014	hisG	None	ATP phosphoribosyltransferase	; 1788330	P60757	b2019
EG10450	ECK2018	hisH	None	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit	; 1788334	P60595	b2023
EG10451	ECK2021	hisI	hisE, hisIE	phosphoribosyl-AMP cyclohydrolase and phosphoribosyl-ATP pyrophosphatase	; 2367128	P06989	b2026
EG10452	ECK2300	hisP	None	histidine ABC transporter ATPase	; 1788644	P07109	b2306
